Song ID,Song Title,Genre,Artist ID,Artist Name,Set,Path
2,Food,Hip-Hop,1,AWOL,training,2.png
5,This World,Hip-Hop,1,AWOL,training,5.png
10,Freeway,Pop,6,Kurt Vile,training,10.png
140,Queen Of The Wires,Folk,54,Alec K. Redfearn & the Eyesores,training,140.png
141,Ohio,Folk,54,Alec K. Redfearn & the Eyesores,training,141.png
148,Blackout 2,Experimental,57,Contradiction,training,148.png
182,Jules Lost His Jewels,Rock,64,Ariel Pink's Haunted Graffiti,test,182.png
190,Castle Of Stars,Folk,127,Ed Askew,training,190.png
193,Here With You,Folk,127,Ed Askew,training,193.png
194,All I want to Do,Folk,127,Ed Askew,training,194.png
197,Piano 2,Folk,127,Ed Askew,training,197.png
200,Baby Come Home,Folk,127,Ed Askew,training,200.png
203,Song For R,Folk,127,Ed Askew,training,203.png
204,My Dream,Folk,127,Ed Askew,training,204.png
207,Piano 3,Folk,127,Ed Askew,training,207.png
210,In the French Court,Folk,127,Ed Askew,training,210.png
211,In America,Folk,127,Ed Askew,training,211.png
212,When I Arive,Folk,127,Ed Askew,training,212.png
213,Boute,Pop,66,Au,training,213.png
255,We Want to be Old,Rock,80,Bird Names,training,255.png
256,Toggle,Rock,81,Black Elk,training,256.png
368,Vampires,Rock,84,Blah Blah Blah,training,368.png
424,The Ambient Honky,Experimental,91,Brian Joseph Davis,training,424.png
459,Machines and Muscles,Rock,95,CAVE,training,459.png
534,I Can See You,Folk,101,Charles Manson,training,534.png
540,The Black Pirate,Folk,101,Charles Manson,training,540.png
546,If You Have No One,Folk,101,Charles Manson,training,546.png
574,Caliente Queen,Rock,106,Clockcleaner,training,574.png
602,Disappearing,Folk,122,Dora Bleu,training,602.png
615,"Immaterial, side A",Experimental,126,EKG,training,615.png
620,Arabesque,Folk,127,Ed Askew,training,620.png
621,Blue Eyed Baby,Folk,127,Ed Askew,training,621.png
625,Climbing To The Top,Folk,127,Ed Askew,training,625.png
666,Heat,International,135,Explode Into Colors,training,666.png
667,Sharpen The Knife,International,135,Explode Into Colors,training,667.png
676,The Tension,Hip-Hop,136,Fanatic,training,676.png
690,Cataclysm,Rock,137,Flying Luttenbachers,training,690.png
694,Planet Say (featuring Faust),Hip-Hop,138,Food For Animals,training,694.png
695,Elephants,Hip-Hop,138,Food For Animals,training,695.png
704,Mano De Dios,International,140,Fósforo,test,704.png
705,Tio Cocodrilo,International,140,Fósforo,test,705.png
706,Esto Es Califas,International,140,Fósforo,test,706.png
707,Cochabamba,International,140,Fósforo,test,707.png
708,Desconocido,International,140,Fósforo,test,708.png
709,Cumbia De Obama,International,140,Fósforo,test,709.png
714,Circle Moon,Folk,143,Fursaxa,training,714.png
715,Kokopelli,Folk,143,Fursaxa,training,715.png
716,Saxalainen,Folk,143,Fursaxa,training,716.png
718,Song Of The Spindle Berry,Folk,143,Fursaxa,training,718.png
777,Relaxing,Rock,149,Glove Compartment,training,777.png
814,Motion Passings,Folk,153,Hall Of Fame,training,814.png
821,Sir,Pop,155,Hecuba,training,821.png
822,Tom & Jerry,Pop,155,Hecuba,training,822.png
825,Death March,Rock,156,Here Comes A Big Black Cloud!!,training,825.png
853,Welsinsni Melodyi,International,162,Hutzl Ukranian Ensemble,training,853.png
890,Softly Tomorrow,Folk,168,Ilyas Ahmed,test,890.png
892,Phantom Sky,Folk,168,Ilyas Ahmed,test,892.png
897,02,Experimental,170,Infinite Body,training,897.png
993,Or So I've Been Told,Rock,175,Jad Fair and Jason Willett,training,993.png
995,No Good Deed Goes Unpunished,Experimental,177,Kevin Shields,training,995.png
997,Nothing's Ever Ending,Experimental,177,Kevin Shields,training,997.png
998,Apparently,Experimental,177,Kevin Shields,training,998.png
1039,13 Monsters,Rock,190,Lightning Bolt,training,1039.png
1040,Dracula Mountain,Rock,190,Lightning Bolt,training,1040.png
1066,Helicopter de Cristal,Experimental,10,Lucky Dragons,test,1066.png
1069,Un Lagrima en la Discoteca,Experimental,10,Lucky Dragons,test,1069.png
1073,Onda Tocadisco,Experimental,10,Lucky Dragons,test,1073.png
1075,Painful Corazon,Experimental,10,Lucky Dragons,test,1075.png
1082,Nam Nhi-tu,International,199,M. Nguyen Van Minh-Con,training,1082.png
1083,Feasting on Energy,Experimental,200,Magic Lantern,training,1083.png
1087,Tell The Police The Truth,Rock,201,Mahjongg,training,1087.png
1102,Rare Vodka from the Fourteenth Century,Rock,203,Mary Halvorson and Weasel Walter,training,1102.png
1193,Wooly Mammoth's Absence,Folk,215,Mount Eerie,training,1193.png
1195,With My Hands Out,Folk,215,Mount Eerie,training,1195.png
1196,2 Blonde Braids,Folk,215,Mount Eerie,training,1196.png
1197,My Burning,Folk,215,Mount Eerie,training,1197.png
1249,"""Cleanse Bath"" 10"" Metal Laquer",Experimental,163,Nautical Almanac,test,1249.png
